Age,Gender,Marital_Status,Department,Job_Role,Job_Level,Monthly_Income,Hourly_Rate,Years_at_Company,Years_in_Current_Role,Years_Since_Last_Promotion,Work_Life_Balance,Job_Satisfaction,Performance_Rating,Training_Hours_Last_Year,Overtime,Project_Count,Average_Hours_Worked_Per_Week,Absenteeism,Work_Environment_Satisfaction,Relationship_with_Manager,Job_Involvement,Distance_From_Home,Number_of_Companies_Worked,Attrition
34,Male,Single,Sales,Manager,2,18295.0,15,13,8,9,3.0,3.0,4,15,No,2,41,2,4,3,3,23,2,No
27,Female,Divorced,HR,Assistant,1,4452.0,71,29,4,4,,1.0,1,48,Yes,6,39,3,3,1,4,27,4,No
33,Male,Single,Marketing,Executive,3,9179.0,62,24,3,4,3.0,4.0,2,72,Yes,7,47,1,4,1,2,44,4,No
42,Male,Divorced,Finance,Analyst,4,5454.0,86,10,10,5,1.0,5.0,2,78,Yes,6,49,13,2,4,3,6,3,No
59,Male,Single,HR,Assistant,2,7060.0,35,28,2,4,2.0,2.0,1,47,No,3,34,17,3,3,2,19,2,No
40,Male,Married,IT,Analyst,2,17747.0,45,15,1,9,4.0,1.0,1,76,Yes,6,36,8,4,4,1,25,1,No
35,Male,Married,Marketing,Manager,3,14955.0,72,24,8,9,4.0,3.0,4,59,No,3,50,1,2,4,1,13,3,Yes
37,Female,Married,HR,Analyst,5,11970.0,61,24,9,8,1.0,2.0,1,60,No,1,58,4,3,1,4,11,2,No
43,Male,Married,HR,Manager,5,17226.0,37,5,3,0,3.0,3.0,2,43,No,4,30,2,4,4,4,46,2,No
45,Female,Single,Finance,Analyst,4,16119.0,89,26,3,7,2.0,5.0,4,23,No,4,49,14,4,3,3,6,2,No
44,Female,Married,Finance,Manager,3,16384.0,94,18,9,5,1.0,2.0,4,50,No,2,50,5,4,2,3,46,1,No
48,Male,Single,,Manager,2,4601.0,21,4,7,8,2.0,4.0,1,32,Yes,6,44,15,4,1,1,19,4,No
34,Female,Divorced,Sales,Manager,3,6843.0,63,1,12,9,2.0,1.0,2,11,No,5,41,2,2,3,3,23,3,No
20,Female,Divorced,Marketing,Assistant,1,18744.0,45,10,12,6,1.0,2.0,4,9,Yes,1,31,8,2,1,2,32,1,Yes
44,Male,Divorced,Marketing,Executive,2,6675.0,61,17,9,2,4.0,5.0,2,30,No,2,46,6,1,2,2,43,2,No
26,Female,Married,IT,Analyst,4,,82,28,2,7,2.0,5.0,2,55,Yes,6,43,10,4,1,2,49,1,No
28,Male,Married,,Executive,4,4005.0,49,26,7,9,2.0,3.0,2,3,No,3,59,12,3,3,3,21,4,No
43,Male,Married,Marketing,Executive,2,3231.0,89,3,14,2,2.0,,1,35,No,7,47,6,4,4,4,36,3,No
20,Male,Divorced,HR,Executive,5,14845.0,48,4,13,2,1.0,4.0,3,9,No,1,45,16,1,3,4,26,3,Yes
27,Female,Divorced,Marketing,Executive,2,19374.0,72,12,8,3,1.0,5.0,4,66,No,7,49,3,4,2,4,23,4,No
43,Female,Divorced,Sales,Analyst,2,19230.0,29,27,11,2,4.0,5.0,4,21,No,3,45,10,2,3,3,24,3,No
30,Female,Divorced,,Analyst,1,18389.0,92,28,4,5,2.0,5.0,4,84,Yes,6,55,17,1,4,3,8,1,No
36,Female,Single,IT,Executive,2,7970.0,99,11,13,6,,1.0,3,37,No,1,32,19,3,2,1,4,4,No
27,Male,Single,IT,Analyst,3,,85,3,10,2,2.0,1.0,4,45,No,1,43,16,4,2,2,16,2,No
54,Male,Married,Marketing,Analyst,3,12089.0,95,28,11,2,4.0,5.0,3,66,Yes,1,57,8,2,3,4,20,4,No
54,Female,Married,IT,Manager,4,,56,11,4,6,3.0,1.0,1,28,No,6,37,19,1,2,2,21,1,Yes
52,Male,Divorced,IT,Analyst,5,10882.0,32,3,12,9,,5.0,1,50,No,2,33,8,3,3,1,49,3,No
24,Female,Single,Marketing,Assistant,4,,92,24,2,8,3.0,3.0,2,59,Yes,8,33,18,2,1,4,40,1,Yes
58,Male,Single,HR,Executive,1,19555.0,52,4,2,2,4.0,3.0,4,58,No,9,50,5,2,2,4,48,3,No
47,Male,Married,IT,Analyst,2,8524.0,78,3,4,5,1.0,1.0,4,4,Yes,6,30,1,2,3,2,47,2,No
26,Male,Single,IT,Executive,4,4429.0,43,25,4,4,2.0,3.0,4,2,Yes,9,59,0,3,1,3,31,1,No
28,Male,Married,IT,Analyst,2,6199.0,24,12,5,7,,3.0,3,63,Yes,7,30,0,2,4,1,8,4,No
27,Male,Divorced,Sales,Executive,4,13090.0,31,12,10,8,3.0,4.0,1,93,No,3,45,19,4,2,3,35,4,No
31,Female,Divorced,Marketing,Assistant,2,10432.0,46,17,14,7,3.0,4.0,2,46,Yes,9,42,7,3,4,3,29,3,No
53,Female,Married,IT,Analyst,4,17069.0,75,24,10,0,,5.0,2,39,Yes,7,55,13,3,3,3,6,2,No
52,Male,Divorced,Sales,Analyst,3,19483.0,98,21,13,6,2.0,2.0,2,7,No,5,43,5,3,2,2,11,2,No
42,Female,Divorced,,Assistant,1,16875.0,95,8,10,7,4.0,,4,55,No,7,50,13,4,2,2,25,2,Yes
43,Male,Single,HR,Analyst,4,16196.0,60,10,9,4,2.0,4.0,4,76,Yes,3,51,9,4,2,1,4,2,No
56,Male,Single,Sales,Executive,3,19970.0,85,16,11,3,1.0,5.0,2,53,No,1,44,5,3,1,1,41,4,No
54,Male,Single,HR,Assistant,5,14159.0,70,19,9,6,1.0,4.0,2,83,No,3,32,10,1,4,4,31,1,No
59,Male,Single,Finance,Manager,4,19639.0,75,15,7,5,2.0,3.0,2,76,No,8,33,13,1,1,1,30,3,No
41,Female,Single,HR,Executive,2,6007.0,58,22,6,1,1.0,5.0,1,5,Yes,4,44,1,3,1,1,18,3,No
46,Male,Married,Finance,Analyst,1,16966.0,52,11,10,8,1.0,,4,73,No,6,37,17,4,4,4,34,2,No
54,Female,Married,Sales,Executive,3,16696.0,64,7,5,2,,2.0,2,52,No,5,34,18,2,4,4,39,3,No
20,Male,Single,Finance,Assistant,3,15402.0,88,24,4,0,3.0,2.0,4,25,No,6,54,9,1,3,3,21,1,Yes
54,Male,Divorced,HR,Analyst,1,8112.0,46,7,2,2,2.0,2.0,1,69,Yes,1,47,15,1,3,3,32,2,No
56,Female,Divorced,IT,Analyst,4,4580.0,67,23,4,0,2.0,1.0,1,25,No,2,51,0,4,1,2,46,2,No
33,Male,Married,Finance,Assistant,2,,62,18,11,9,2.0,3.0,3,27,Yes,9,59,18,4,1,1,41,3,No
22,Male,Married,,Manager,5,7590.0,95,19,7,6,3.0,3.0,3,75,No,3,54,6,3,3,3,7,4,No
20,Female,Married,IT,Analyst,4,19465.0,15,16,1,5,1.0,3.0,4,52,No,2,43,14,1,4,1,22,3,No
24,Female,Divorced,Sales,Analyst,1,,44,22,3,7,4.0,3.0,4,60,No,5,50,12,2,2,1,34,1,No
45,Female,Married,Sales,Analyst,4,8301.0,23,3,4,3,1.0,3.0,4,39,Yes,5,42,5,4,4,2,49,3,No
33,Male,Divorced,Marketing,Manager,4,,47,25,7,5,4.0,3.0,2,67,No,6,50,8,3,1,2,32,3,No
58,Male,Married,Sales,Executive,1,9588.0,40,25,3,2,3.0,1.0,4,87,Yes,3,42,12,3,3,2,9,4,No
46,Female,Divorced,Marketing,Manager,1,8381.0,56,6,4,3,4.0,5.0,4,14,No,5,40,15,3,3,1,43,3,Yes
28,Female,Married,Sales,Executive,5,17067.0,88,1,1,5,2.0,2.0,2,87,No,5,50,5,2,2,1,33,3,No
34,Male,Married,Sales,Analyst,1,5104.0,56,1,12,4,2.0,2.0,3,12,Yes,8,59,18,4,1,1,6,1,No
34,Male,Divorced,Sales,Executive,1,10726.0,53,15,1,1,2.0,2.0,2,66,No,5,56,14,2,2,2,24,4,No
45,Female,Married,Marketing,Executive,1,12790.0,75,20,10,8,2.0,3.0,1,90,Yes,1,35,7,4,1,4,15,1,No
32,Female,Single,Marketing,Executive,3,11770.0,61,11,12,1,1.0,,1,44,No,1,59,10,1,3,1,13,4,No
51,Female,Divorced,Finance,Executive,1,12106.0,56,10,3,7,2.0,1.0,4,78,No,1,37,8,1,3,1,14,2,No
58,Female,Married,HR,Analyst,1,17006.0,62,24,7,4,4.0,3.0,4,25,Yes,9,45,1,4,2,4,14,4,Yes
51,Male,Divorced,,Assistant,1,3774.0,66,3,13,6,3.0,3.0,4,55,Yes,7,37,1,4,3,2,10,3,No
23,Male,Married,HR,Manager,5,,47,4,11,5,2.0,1.0,2,22,No,3,30,4,2,3,2,27,1,No
49,Male,Single,Sales,Executive,4,10226.0,41,12,6,1,1.0,5.0,3,38,No,2,49,5,4,4,4,45,2,No
56,Male,Married,HR,Analyst,1,3545.0,57,27,5,3,2.0,,2,96,No,2,38,6,2,2,1,39,4,No
42,Female,Married,,Analyst,1,7906.0,43,6,8,8,2.0,1.0,4,20,Yes,6,43,4,1,3,2,13,3,No
58,Male,Single,Finance,Analyst,5,12605.0,33,27,11,6,1.0,1.0,3,13,No,6,41,10,4,1,4,39,2,No
34,Female,Divorced,IT,Analyst,4,9395.0,96,25,8,0,3.0,5.0,1,12,Yes,6,51,2,2,1,1,12,1,No
48,Male,Married,Finance,Executive,5,17501.0,42,20,4,3,1.0,,3,31,No,2,34,1,2,1,2,45,4,No
55,Male,Married,HR,Manager,2,15275.0,24,19,10,9,4.0,1.0,3,11,No,7,50,0,2,3,2,29,1,No
32,Male,Single,HR,Analyst,2,6388.0,81,26,6,2,,3.0,2,62,Yes,3,43,18,4,1,3,12,2,No
51,Female,Divorced,,Manager,2,13821.0,30,26,12,0,4.0,2.0,3,51,No,1,43,1,2,1,4,40,3,No
26,Male,Divorced,,Manager,1,3571.0,15,16,1,4,2.0,2.0,3,73,Yes,3,49,1,3,1,1,31,2,No
41,Female,Single,Marketing,Manager,5,19109.0,96,25,10,8,1.0,4.0,1,21,No,6,34,18,2,3,1,23,3,No
47,Female,Single,Marketing,Assistant,1,6927.0,18,23,14,3,2.0,1.0,3,46,Yes,7,59,19,4,4,2,45,3,No
21,Male,Married,IT,Analyst,2,19731.0,83,25,12,1,1.0,2.0,2,24,Yes,3,47,9,4,4,3,31,4,No
25,Female,Single,Marketing,Analyst,4,7592.0,99,27,10,6,4.0,3.0,1,92,Yes,8,38,2,4,4,1,19,2,No
47,Male,Single,,Analyst,4,,18,10,9,7,1.0,5.0,3,70,Yes,3,48,9,4,3,4,49,2,Yes
47,Female,Single,IT,Manager,5,19599.0,34,6,14,1,4.0,5.0,4,34,Yes,6,59,11,1,3,1,32,2,No
39,Male,Divorced,Sales,Analyst,4,9613.0,77,20,5,9,2.0,2.0,3,92,No,2,30,3,2,1,1,1,1,No
49,Female,Single,Sales,Analyst,2,14092.0,97,5,14,8,1.0,5.0,1,79,No,9,58,10,1,1,4,13,4,No
30,Female,Married,IT,Manager,5,,49,10,8,9,1.0,,3,71,Yes,7,58,11,2,3,1,35,4,Yes
47,Male,Married,,Analyst,5,11052.0,59,12,10,7,2.0,5.0,1,50,No,8,31,17,4,4,4,46,3,No
44,Male,Married,HR,Executive,2,6059.0,71,18,10,3,1.0,5.0,1,58,Yes,2,50,12,3,2,1,9,1,No
58,Male,Single,Finance,Assistant,2,3050.0,38,3,1,3,4.0,5.0,2,72,No,4,41,8,1,3,2,13,1,No
52,Male,Divorced,HR,Executive,2,,34,5,14,4,1.0,3.0,3,19,Yes,8,39,0,4,2,2,35,3,No
20,Female,Single,HR,Executive,2,4725.0,42,29,4,0,,4.0,4,18,Yes,9,50,13,1,3,3,8,3,No
46,Female,Single,Marketing,Executive,5,18410.0,52,3,13,6,1.0,4.0,1,15,No,4,56,16,4,1,1,44,4,No
32,Female,Married,Finance,Manager,4,7566.0,38,3,2,3,3.0,5.0,1,61,No,6,48,7,1,4,3,41,1,No
22,Female,Single,Finance,Analyst,2,14495.0,98,9,2,0,1.0,2.0,2,28,No,5,51,15,3,4,4,11,4,No
58,Male,Divorced,Sales,Executive,3,10857.0,38,4,2,3,1.0,3.0,2,97,No,6,49,10,1,4,1,35,3,No
25,Female,Married,IT,Executive,5,13909.0,84,20,2,3,1.0,2.0,2,91,Yes,3,31,4,2,1,4,18,1,No
27,Male,Divorced,Marketing,Analyst,1,10826.0,39,17,8,0,2.0,1.0,1,33,No,5,33,11,4,4,3,14,2,Yes
46,Female,Divorced,Finance,Manager,4,16791.0,95,28,6,8,2.0,3.0,4,80,Yes,7,50,14,4,1,3,43,4,No
28,Male,Divorced,Marketing,Executive,5,7533.0,95,7,9,7,4.0,5.0,1,3,No,4,35,11,1,3,1,2,3,No
56,Male,Single,Sales,Analyst,2,18491.0,83,29,2,8,,3.0,2,54,No,5,46,10,4,3,1,48,2,No
52,Male,Single,HR,Analyst,3,19907.0,31,26,13,6,2.0,,2,51,Yes,6,58,3,3,3,4,49,4,No
43,Male,Single,Finance,Assistant,1,7601.0,72,13,1,4,3.0,2.0,2,97,No,9,52,12,3,4,2,15,1,No
34,Male,Single,Sales,Executive,4,13130.0,87,25,14,6,1.0,,2,29,Yes,9,30,19,2,3,2,40,2,Yes
51,Female,Married,Marketing,Executive,2,4204.0,34,28,8,1,1.0,3.0,1,58,Yes,9,59,15,3,4,1,48,4,No
51,Male,Single,,Assistant,5,7082.0,16,24,10,9,1.0,1.0,2,63,No,1,49,7,2,3,1,23,4,Yes
43,Female,Married,Sales,Analyst,5,6334.0,97,12,14,6,1.0,1.0,4,37,Yes,3,58,19,4,1,1,15,2,No
31,Female,Divorced,Sales,Analyst,4,3711.0,23,18,13,3,3.0,2.0,4,29,No,2,39,11,1,4,2,45,1,No
58,Male,Married,Sales,Executive,3,12104.0,77,22,3,4,,2.0,1,94,No,6,33,4,2,4,4,2,1,No
21,Female,Single,Sales,Executive,2,8710.0,97,26,3,6,3.0,5.0,2,42,Yes,9,30,16,4,3,4,21,4,No
22,Female,Married,Sales,Assistant,4,12926.0,82,26,8,1,1.0,5.0,3,95,Yes,2,45,2,3,2,4,23,3,No
56,Female,Single,IT,Executive,4,18977.0,20,15,5,4,4.0,3.0,3,55,Yes,7,54,0,3,1,2,29,2,No
36,Male,Single,Marketing,Executive,5,13328.0,25,5,8,1,4.0,,1,97,Yes,1,54,15,1,1,2,31,1,No
21,Male,Married,HR,Manager,4,,35,24,2,9,,2.0,2,81,No,4,48,2,1,1,2,22,1,No
21,Male,Married,Marketing,Assistant,1,18790.0,77,1,10,5,4.0,5.0,4,5,No,1,56,16,3,1,3,6,1,Yes
47,Male,Divorced,Finance,Analyst,1,6834.0,44,9,9,9,2.0,5.0,2,2,No,1,44,3,1,2,1,47,3,Yes
42,Female,Divorced,Finance,Executive,2,19177.0,96,9,2,7,1.0,5.0,4,39,No,7,33,2,4,4,4,12,3,Yes
56,Female,Divorced,,Analyst,4,11899.0,35,13,9,6,4.0,1.0,4,77,Yes,5,30,0,4,2,4,26,1,No
51,Female,Divorced,Sales,Executive,5,10210.0,37,11,10,4,3.0,5.0,4,37,Yes,8,46,5,1,1,1,10,2,Yes
52,Female,Divorced,IT,Manager,2,8804.0,75,28,6,2,4.0,2.0,4,16,No,2,48,10,3,4,2,12,3,No
20,Female,Married,,Assistant,3,10733.0,44,23,12,3,3.0,1.0,4,50,No,6,50,7,1,1,3,15,4,No
38,Female,Divorced,Sales,Assistant,5,3252.0,60,24,12,1,2.0,5.0,4,26,No,9,43,5,1,3,1,18,1,No
21,Male,Married,Marketing,Analyst,3,12190.0,74,29,5,5,1.0,5.0,4,36,Yes,3,38,4,3,2,1,5,3,No
45,Female,Divorced,Marketing,Manager,2,17122.0,32,9,7,7,4.0,,2,25,No,6,44,4,2,4,3,15,1,No
51,Female,Single,IT,Analyst,1,,76,29,14,7,2.0,3.0,4,77,Yes,9,42,17,3,3,3,28,2,No
25,Female,Divorced,IT,Manager,5,11484.0,59,5,7,8,3.0,2.0,2,59,No,3,38,9,4,4,4,9,4,No
51,Male,Single,Marketing,Executive,5,10552.0,75,14,4,4,2.0,4.0,3,99,Yes,5,47,13,2,3,1,36,2,Yes
23,Female,Married,Sales,Executive,2,,73,27,7,9,2.0,2.0,1,87,No,6,42,14,2,3,4,17,3,No
30,Female,Divorced,Sales,Manager,5,19420.0,49,16,3,5,,3.0,3,20,Yes,1,59,14,3,4,3,21,4,No
36,Male,Married,Sales,Executive,5,4444.0,36,2,3,1,1.0,2.0,3,64,Yes,8,40,4,1,1,3,27,2,No
57,Female,Divorced,HR,Assistant,2,10793.0,38,15,7,9,2.0,1.0,2,61,No,3,55,1,3,4,1,29,2,No
43,Male,Married,HR,Manager,4,9677.0,65,17,1,3,2.0,1.0,1,41,Yes,8,34,5,4,4,3,43,2,Yes
24,Male,Divorced,Sales,Manager,2,10861.0,79,5,8,2,3.0,2.0,1,95,No,1,55,9,4,2,1,42,1,Yes
53,Female,Divorced,Marketing,Analyst,5,16268.0,29,24,11,8,3.0,1.0,4,62,Yes,4,48,7,2,4,4,39,1,Yes
25,Female,Single,,Manager,2,13634.0,42,10,2,5,2.0,,3,74,Yes,4,35,17,3,2,3,10,4,No
41,Male,Married,Finance,Analyst,5,9420.0,56,15,1,5,4.0,4.0,3,57,No,8,32,12,4,1,2,40,2,No
30,Female,Married,IT,Manager,3,7378.0,34,20,6,3,3.0,4.0,2,80,Yes,4,45,6,2,2,2,3,3,No
35,Female,Married,IT,Assistant,3,3998.0,57,4,4,5,1.0,3.0,4,61,No,4,47,18,2,4,1,4,2,No
52,Male,Married,Finance,Assistant,1,7302.0,94,4,7,0,4.0,5.0,1,66,Yes,7,39,3,4,2,2,49,2,No
28,Male,Married,Sales,Assistant,2,10830.0,83,24,12,8,4.0,5.0,3,28,No,8,32,8,3,3,3,34,4,No
25,Female,Single,IT,Analyst,2,17898.0,77,29,3,2,2.0,4.0,3,18,Yes,6,31,6,3,3,2,42,2,Yes
35,Male,Divorced,Finance,Analyst,3,17054.0,57,7,11,4,1.0,1.0,3,96,Yes,4,30,9,2,3,3,14,4,No
48,Female,Single,Marketing,Executive,3,9735.0,93,29,2,6,4.0,1.0,2,4,Yes,7,45,19,1,3,1,23,1,No
22,Female,Married,Marketing,Analyst,3,,16,27,12,1,3.0,5.0,2,65,Yes,9,45,4,4,1,1,31,4,No
39,Female,Married,Marketing,Analyst,1,15423.0,91,1,11,3,1.0,4.0,1,8,No,2,59,6,2,1,4,38,1,No
55,Female,Divorced,Sales,Assistant,1,14609.0,37,26,4,5,1.0,2.0,4,40,No,3,52,1,3,2,4,40,4,No
38,Male,Single,,Manager,4,13409.0,26,22,4,0,2.0,2.0,2,24,No,1,51,8,1,2,1,49,1,No
45,Female,Divorced,IT,Analyst,2,4186.0,60,20,11,5,4.0,1.0,1,83,Yes,7,33,19,2,2,3,3,4,Yes
22,Male,Divorced,HR,Executive,1,7294.0,47,2,4,4,3.0,3.0,3,74,No,6,42,11,4,1,4,13,2,No
38,Female,Single,Marketing,Manager,5,,58,19,3,1,4.0,5.0,1,11,No,8,48,7,3,1,1,19,4,No
39,Female,Divorced,Sales,Analyst,2,14004.0,39,4,7,5,4.0,,1,64,No,2,35,5,1,2,4,34,2,No
51,Male,Single,Finance,Manager,4,12709.0,49,26,5,4,3.0,3.0,3,87,No,5,45,10,1,2,3,31,1,No
